epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.92429,1.43428,5.14561,1.06606,0.00299,0.76488,0.3371,0.21427,1.13556,3.71081,0.88164,0.0001667,0.0001667,0.0001667
2,5.85814,1.12898,3.74893,0.92186,0.00312,0.8125,0.37559,0.24184,1.12107,3.46225,0.86397,0.000346604,0.000346604,0.000346604
3,7.70191,1.15494,2.96117,0.97703,0.00316,0.76488,0.22847,0.12601,1.00751,3.60156,0.87421,0.000522878,0.000522878,0.000522878
4,9.33081,1.13678,2.63017,1.02284,0.00295,0.69345,0.21201,0.12159,0.99769,3.55376,0.90777,0.000695521,0.000695521,0.000695521
5,10.9026,1.19023,2.46751,1.07031,0.00206,0.5744,0.47644,0.33836,1.03815,3.4559,0.92113,0.000864533,0.000864533,0.000864533
6,12.3603,1.10366,2.24926,0.98194,1,0.29615,0.80309,0.57758,0.98846,3.05044,0.90891,0.00102991,0.00102991,0.00102991
7,13.8078,1.08561,2.31291,0.99253,1,0.48542,0.83728,0.61547,1.06888,2.82532,0.94577,0.00119166,0.00119166,0.00119166
8,15.2878,1.11921,2.24591,1.00572,0.98074,0.62719,0.86071,0.60688,1.0342,2.68141,0.94899,0.00134978,0.00134978,0.00134978
9,16.9707,1.02576,1.93813,0.97931,0.99615,0.78366,0.90512,0.69214,0.94211,2.17817,0.93333,0.00150427,0.00150427,0.00150427
10,18.5877,0.9886,1.98083,0.97601,0.91224,0.76686,0.92687,0.66602,1.03388,1.94244,0.95311,0.00151847,0.00151847,0.00151847
11,20.039,0.98106,1.88754,0.9906,0.87722,0.80615,0.92045,0.65209,1.01951,1.70949,0.96306,0.00150197,0.00150197,0.00150197
12,21.5563,1.09358,2.12265,0.9973,0.93322,0.78592,0.94059,0.65864,1.12711,1.85072,0.97727,0.00148546,0.00148546,0.00148546
13,22.9389,1.02079,1.817,0.97803,1,0.9084,0.96929,0.65716,1.06215,1.42618,0.97589,0.00146896,0.00146896,0.00146896
14,24.3214,1.06198,1.86163,0.99427,0.97743,0.98519,0.995,0.73404,0.87058,1.05798,0.94551,0.00145246,0.00145246,0.00145246
15,25.7477,1.00844,1.82122,0.96402,0.93927,0.95839,0.995,0.75714,0.93364,1.33586,0.94866,0.00143595,0.00143595,0.00143595
16,27.0871,0.90381,1.77432,0.99129,0.97958,0.97107,0.995,0.74245,0.97261,1.0827,0.96215,0.00141945,0.00141945,0.00141945
17,28.4382,1.00906,1.61911,0.97277,0.90956,0.97576,0.99409,0.72885,0.86958,1.1725,0.93922,0.00140295,0.00140295,0.00140295
18,29.8418,0.91803,1.43993,0.9307,0.9957,0.93433,0.995,0.7685,0.8616,1.17224,0.92868,0.00138644,0.00138644,0.00138644
19,31.2201,0.89202,1.47962,0.95499,1,0.92651,0.98833,0.76854,0.89899,1.12367,0.92731,0.00136994,0.00136994,0.00136994
20,32.6957,0.86941,1.34284,0.91244,0.98125,0.99006,0.995,0.75356,0.8947,0.94484,0.92711,0.00135344,0.00135344,0.00135344
21,34.1233,0.85514,1.40657,0.91332,0.97866,0.98697,0.995,0.78132,0.89045,0.94437,0.93985,0.00133693,0.00133693,0.00133693
22,35.6228,0.93442,1.44852,0.93409,0.97995,0.93078,0.995,0.78584,0.84221,1.00394,0.91163,0.00132043,0.00132043,0.00132043
23,37.0171,0.85047,1.37937,0.92456,0.98894,1,0.995,0.76766,0.82256,0.86679,0.9206,0.00130393,0.00130393,0.00130393
24,38.2942,0.84805,1.20647,0.91678,0.994,1,0.995,0.76188,0.82919,0.91037,0.92056,0.00128742,0.00128742,0.00128742
25,39.61,0.84905,1.2236,0.95047,0.97571,1,0.995,0.78069,0.79929,0.89795,0.91181,0.00127092,0.00127092,0.00127092
26,40.8953,0.89883,1.32957,0.98367,0.98011,1,0.995,0.79083,0.75909,0.89768,0.89621,0.00125442,0.00125442,0.00125442
27,42.2422,0.87902,1.41608,0.92774,0.98444,1,0.995,0.7879,0.77924,0.94291,0.89074,0.00123791,0.00123791,0.00123791
28,43.5782,0.86713,1.20721,0.89758,0.98927,0.99647,0.995,0.7679,0.90957,1.25103,0.91867,0.00122141,0.00122141,0.00122141
29,45.0715,0.95369,1.29539,0.92415,0.99412,0.99326,0.995,0.78042,0.90405,0.92157,0.91183,0.00120491,0.00120491,0.00120491
30,46.3773,0.85183,1.13618,0.92308,0.99427,0.98308,0.995,0.77493,0.8101,0.82876,0.88386,0.0011884,0.0011884,0.0011884
31,47.7878,0.92038,1.1962,0.94064,0.99662,0.96751,0.995,0.77631,0.78998,0.83827,0.86954,0.0011719,0.0011719,0.0011719
32,49.1608,0.89206,1.12373,0.90264,0.99448,0.96368,0.995,0.79567,0.76486,0.81416,0.86577,0.0011554,0.0011554,0.0011554
33,50.6127,0.87787,1.10613,0.95405,0.99751,0.99948,0.995,0.78427,0.79207,0.71339,0.87955,0.00113889,0.00113889,0.00113889
34,51.9484,0.85704,1.04703,0.8772,0.99592,0.99942,0.995,0.79469,0.78046,0.64906,0.87261,0.00112239,0.00112239,0.00112239
35,53.3467,0.87633,1.2009,0.93845,0.99624,1,0.995,0.76936,0.77247,0.65783,0.8808,0.00110589,0.00110589,0.00110589
36,54.7113,0.80603,1.10298,0.88659,0.99722,1,0.995,0.7842,0.85934,0.64804,0.89268,0.00108938,0.00108938,0.00108938
37,56.0836,0.90045,1.13762,0.93687,0.99324,0.99833,0.995,0.79388,0.86628,0.61907,0.90405,0.00107288,0.00107288,0.00107288
38,57.4958,0.87154,1.09913,0.90803,0.99381,0.99922,0.995,0.80763,0.81006,0.56643,0.89455,0.00105638,0.00105638,0.00105638
39,58.9647,0.79491,1.05584,0.88988,0.99126,1,0.995,0.81118,0.73034,0.58351,0.88486,0.00103987,0.00103987,0.00103987
40,60.4737,0.72034,0.98412,0.89062,0.99034,1,0.995,0.7969,0.75226,0.59185,0.8886,0.00102337,0.00102337,0.00102337
41,61.9237,0.78998,0.95385,0.92821,0.99508,1,0.995,0.79986,0.75297,0.56792,0.87847,0.00100687,0.00100687,0.00100687
42,63.2015,0.8586,1.02981,0.95371,0.9932,1,0.995,0.79319,0.76479,0.56988,0.87462,0.000990365,0.000990365,0.000990365
43,64.4798,0.81959,0.9364,0.92928,0.99371,1,0.995,0.8292,0.76408,0.56175,0.87888,0.000973861,0.000973861,0.000973861
44,65.7605,0.85658,0.98438,0.95045,0.97836,1,0.995,0.82706,0.7804,0.54157,0.89753,0.000957358,0.000957358,0.000957358
45,67.0253,0.76983,0.93719,0.88685,0.98587,1,0.995,0.82524,0.77436,0.5415,0.88673,0.000940855,0.000940855,0.000940855
46,68.3098,0.72563,0.99474,0.92707,0.98429,0.99528,0.995,0.81309,0.79818,0.50523,0.89027,0.000924352,0.000924352,0.000924352
47,69.7419,0.7462,0.90033,0.87341,0.98724,0.99672,0.995,0.81567,0.74139,0.52722,0.88074,0.000907848,0.000907848,0.000907848
48,71.0229,0.728,0.81761,0.89606,0.98749,0.99561,0.995,0.79802,0.7546,0.5462,0.8788,0.000891345,0.000891345,0.000891345
49,72.4062,0.7086,0.88693,0.89002,0.99308,0.99563,0.995,0.79689,0.78881,0.54246,0.8855,0.000874842,0.000874842,0.000874842
50,73.76,0.78142,0.85384,0.92882,0.99427,0.9982,0.995,0.80917,0.7891,0.51002,0.88669,0.000858338,0.000858338,0.000858338
51,75.0693,0.66311,0.74213,0.8821,0.99058,0.99896,0.995,0.79203,0.78195,0.51411,0.88602,0.000841835,0.000841835,0.000841835
52,76.3824,0.73367,0.78728,0.89945,0.98851,0.99829,0.995,0.79646,0.77261,0.4954,0.88566,0.000825332,0.000825332,0.000825332
53,77.6573,0.69732,0.75307,0.88573,0.99084,0.99835,0.995,0.80639,0.7657,0.48281,0.88533,0.000808828,0.000808828,0.000808828
54,78.9954,0.82406,0.8463,0.8822,0.99419,0.99818,0.995,0.81929,0.76914,0.48796,0.88209,0.000792325,0.000792325,0.000792325
55,80.3399,0.69194,0.78574,0.90778,0.99684,0.9964,0.995,0.813,0.72719,0.47942,0.89922,0.000775822,0.000775822,0.000775822
56,81.7899,0.67991,0.75316,0.90687,0.98814,0.99564,0.995,0.81986,0.69995,0.47125,0.89778,0.000759318,0.000759318,0.000759318
57,83.2235,0.70366,0.70871,0.88441,0.98763,0.99596,0.995,0.82513,0.7236,0.46994,0.89397,0.000742815,0.000742815,0.000742815
58,84.6621,0.77172,0.83061,0.93488,0.99288,0.99605,0.995,0.82949,0.75323,0.47684,0.89982,0.000726312,0.000726312,0.000726312
59,86.1632,0.68104,0.79689,0.87995,0.99712,0.99624,0.995,0.83368,0.79279,0.51752,0.91008,0.000709809,0.000709809,0.000709809
60,87.6904,0.71055,0.82278,0.88228,0.98975,0.99595,0.995,0.81174,0.78561,0.52425,0.89093,0.000693305,0.000693305,0.000693305
61,89.0425,0.67539,0.79101,0.87526,0.98766,0.99541,0.995,0.81258,0.75849,0.4813,0.87422,0.000676802,0.000676802,0.000676802
62,90.3406,0.69417,0.72681,0.87444,0.9875,0.9951,0.995,0.8211,0.71282,0.45925,0.86238,0.000660299,0.000660299,0.000660299
63,91.737,0.69325,0.77065,0.88318,0.98029,1,0.995,0.79966,0.7662,0.4431,0.88585,0.000643795,0.000643795,0.000643795
64,93.0892,0.76151,0.77802,0.90061,0.99489,0.99753,0.995,0.8028,0.77229,0.45864,0.88865,0.000627292,0.000627292,0.000627292
65,94.4165,0.64692,0.7484,0.88765,0.99303,1,0.995,0.78514,0.77047,0.4655,0.87248,0.000610789,0.000610789,0.000610789
66,95.7924,0.68357,0.72151,0.87461,0.99157,1,0.995,0.77259,0.78343,0.45446,0.87812,0.000594286,0.000594286,0.000594286
67,97.2497,0.70371,0.78452,0.89218,0.99297,1,0.995,0.7744,0.77038,0.46487,0.88166,0.000577782,0.000577782,0.000577782
68,98.7512,0.69065,0.69546,0.89215,0.98678,1,0.995,0.78304,0.77087,0.47285,0.8963,0.000561279,0.000561279,0.000561279
69,100.094,0.74412,0.71323,0.84464,0.98466,1,0.995,0.77465,0.74565,0.46429,0.89303,0.000544776,0.000544776,0.000544776
70,101.421,0.66485,0.71559,0.85082,0.99003,1,0.995,0.80432,0.72702,0.46195,0.88535,0.000528272,0.000528272,0.000528272
71,102.787,0.64096,0.70336,0.85261,0.9928,1,0.995,0.81824,0.72213,0.45891,0.88021,0.000511769,0.000511769,0.000511769
72,104.317,0.71923,0.69899,0.89649,0.99455,1,0.995,0.8292,0.7156,0.4448,0.88136,0.000495266,0.000495266,0.000495266
73,105.743,0.65793,0.64682,0.86684,0.99263,1,0.995,0.82882,0.70987,0.45136,0.88677,0.000478762,0.000478762,0.000478762
