epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5193,1.15545,9.45267,0.67078,0.00134,0.34286,0.00591,0.00293,1.65197,3.9622,1.07791,3.334e-05,3.334e-05,3.334e-05
2,15.8141,1.95752,5.67832,1.24615,0.00169,0.41429,0.00712,0.00293,1.57453,3.89432,1.04848,8.25248e-05,8.25248e-05,8.25248e-05
3,16.8762,1.51053,5.08986,0.96468,0.00231,0.55714,0.04056,0.02737,1.22514,3.66704,0.93712,0.000130719,0.000130719,0.000130719
4,18.4109,1.2269,4.74008,0.90867,0.00228,0.55714,0.31706,0.20892,1.0687,3.60264,0.88918,0.000177924,0.000177924,0.000177924
5,19.9489,1.55971,9.11615,0.91036,0.00263,0.65714,0.40061,0.27068,1.13884,3.57107,0.90955,0.000224138,0.000224138,0.000224138
6,21.3895,0.86013,4.35662,0.91898,0.00196,0.48571,0.33368,0.26565,1.15976,3.55134,0.92452,0.000269362,0.000269362,0.000269362
7,22.4901,1.44176,3.47658,0.93691,0.00232,0.58571,0.2771,0.19414,1.18599,3.53721,0.91773,0.000313596,0.000313596,0.000313596
8,23.5992,1.33685,4.13687,0.92703,0.00263,0.65714,0.25254,0.17363,1.24982,3.4988,0.92868,0.00035684,0.00035684,0.00035684
9,24.6021,1.25109,3.26254,0.94808,0.0026,0.62857,0.22863,0.15693,1.3445,3.56186,0.95814,0.000399093,0.000399093,0.000399093
10,25.4911,1.44648,6.02511,0.85584,0.00259,0.62857,0.15569,0.108,1.29758,3.58596,0.96283,0.000440356,0.000440356,0.000440356
11,26.3854,1.49706,3.1321,0.98266,0.00159,0.38571,0.12114,0.07598,1.25773,3.62767,0.96899,0.000480629,0.000480629,0.000480629
12,27.5197,1.54347,3.00852,0.93202,0.00158,0.38571,0.10054,0.07691,1.18493,3.57163,0.99501,0.000519912,0.000519912,0.000519912
13,28.6143,1.40325,3.42547,0.95763,0.00165,0.41429,0.09729,0.05195,1.19719,3.63351,1.01855,0.000558205,0.000558205,0.000558205
