epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.33747,0.93603,3.88793,0.88287,0.00098,0.15591,0.03442,0.02793,0.82173,4.08918,0.80799,0.0003375,0.0003375,0.0003375
2,9.02043,0.85006,2.07673,0.85578,0.00203,0.46486,0.14984,0.11343,0.83213,3.68665,0.82003,0.000680694,0.000680694,0.000680694
3,12.6918,0.79337,1.82218,0.86693,1,0.07516,0.69779,0.54685,0.78057,3.01923,0.8441,0.00101696,0.00101696,0.00101696
4,16.3174,0.78717,1.59648,0.86397,0.97092,0.75955,0.89212,0.65791,0.86518,1.93916,0.84805,0.00121287,0.00121287,0.00121287
5,19.9781,0.75515,1.37196,0.84836,0.9691,0.82575,0.93098,0.7204,0.76466,1.00915,0.84493,0.0012005,0.0012005,0.0012005
6,23.6401,0.70801,1.23581,0.83605,0.97126,0.88003,0.95096,0.7456,0.70671,0.88087,0.82743,0.00118812,0.00118812,0.00118812
7,27.2918,0.68014,1.11818,0.83788,0.98913,0.87403,0.9512,0.74303,0.71191,0.66825,0.83923,0.00117575,0.00117575,0.00117575
8,30.9362,0.66711,1.04848,0.84741,0.95029,0.92438,0.96678,0.75074,0.67455,0.69421,0.83645,0.00116337,0.00116337,0.00116337
9,34.5684,0.68297,0.97553,0.84328,0.97764,0.92088,0.97346,0.75141,0.63957,0.60051,0.82445,0.001151,0.001151,0.001151
10,38.1795,0.6602,0.88,0.83662,0.9703,0.8994,0.96562,0.76535,0.66331,0.59066,0.82957,0.00113863,0.00113863,0.00113863
11,41.772,0.59888,0.80595,0.82964,0.97826,0.93588,0.97595,0.78837,0.60466,0.51136,0.8285,0.00112625,0.00112625,0.00112625
12,45.3809,0.62438,0.799,0.8404,0.97429,0.94758,0.98293,0.79901,0.62042,0.51937,0.82784,0.00111388,0.00111388,0.00111388
13,49.0043,0.61955,0.74234,0.84231,0.99154,0.94093,0.98123,0.81481,0.5559,0.48685,0.82278,0.0011015,0.0011015,0.0011015
14,52.6191,0.58231,0.72095,0.82519,0.99182,0.90543,0.96673,0.79824,0.58747,0.51699,0.82646,0.00108913,0.00108913,0.00108913
15,56.2331,0.57444,0.66464,0.81917,0.95408,0.94887,0.97625,0.80757,0.60176,0.48597,0.81931,0.00107675,0.00107675,0.00107675
16,59.8315,0.58387,0.66834,0.82959,0.9933,0.89433,0.96609,0.80254,0.59352,0.49634,0.8179,0.00106437,0.00106437,0.00106437
17,63.4834,0.58358,0.62203,0.81975,0.99034,0.95272,0.9753,0.80461,0.54457,0.45929,0.81157,0.001052,0.001052,0.001052
18,67.1819,0.57157,0.59175,0.81983,0.99264,0.93426,0.97534,0.79483,0.63388,0.47462,0.82576,0.00103962,0.00103962,0.00103962
19,70.7922,0.54764,0.55984,0.81551,0.97498,0.93645,0.97539,0.81573,0.56389,0.4594,0.81882,0.00102725,0.00102725,0.00102725
20,74.4432,0.57504,0.57556,0.81927,0.96038,0.94277,0.97463,0.79445,0.56865,0.44766,0.81641,0.00101488,0.00101488,0.00101488
21,78.069,0.57659,0.55536,0.8237,0.98789,0.93194,0.97762,0.80573,0.57624,0.42527,0.81594,0.0010025,0.0010025,0.0010025
22,81.7043,0.5512,0.51946,0.81429,0.9868,0.93594,0.97412,0.8043,0.54909,0.42133,0.81334,0.000990125,0.000990125,0.000990125
23,85.3,0.54107,0.50912,0.79689,0.98181,0.95533,0.98061,0.83166,0.50877,0.41627,0.80791,0.00097775,0.00097775,0.00097775
