epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.841,1.005,2.58616,0.94592,0.87797,0.8741,0.88823,0.66053,0.80977,0.86627,0.92092,0.000362283,0.000362283,0.000362283
2,33.3389,0.96263,0.97107,0.92769,0.88302,0.86367,0.89554,0.6736,0.8884,0.76241,0.99396,0.000725363,0.000725363,0.000725363
3,42.5522,0.97811,0.84815,0.94046,0.86008,0.86398,0.88066,0.65127,0.93647,0.98448,0.96881,0.00108111,0.00108111,0.00108111
4,51.6867,0.95643,0.77779,0.93276,0.60173,0.81263,0.59257,0.44929,0.8161,12.0883,0.96541,0.001078,0.001078,0.001078
5,60.8189,0.94234,0.7289,0.94275,0.74422,0.83579,0.7342,0.5656,0.79937,1.09569,0.93539,0.001067,0.001067,0.001067
6,69.9288,0.90651,0.71687,0.93153,0.92474,0.89307,0.93291,0.72844,0.78796,0.63755,0.93266,0.00105601,0.00105601,0.00105601
7,79.15,0.89545,0.67922,0.91618,0.91542,0.91558,0.93023,0.72365,0.77103,0.73362,0.91888,0.00104501,0.00104501,0.00104501
8,88.2682,0.86372,0.66802,0.90818,0.90432,0.90866,0.93647,0.73105,0.78378,0.64482,0.91287,0.00103401,0.00103401,0.00103401
9,97.6131,0.89,0.66977,0.91031,0.91912,0.92911,0.9476,0.75107,0.72612,0.5838,0.92223,0.00102301,0.00102301,0.00102301
10,106.802,0.86809,0.65068,0.91381,0.92998,0.92063,0.93863,0.73607,0.72857,0.55797,0.89849,0.00101201,0.00101201,0.00101201
11,115.938,0.84398,0.62067,0.89679,0.95134,0.89888,0.94115,0.76111,0.71083,0.75466,0.90533,0.00100101,0.00100101,0.00100101
12,125.161,0.83122,0.58901,0.90133,0.9218,0.93307,0.94465,0.75669,0.72541,0.52977,0.88628,0.000990012,0.000990012,0.000990012
13,134.317,0.80617,0.58839,0.89427,0.94924,0.93059,0.95066,0.7633,0.6989,0.54875,0.88419,0.000979013,0.000979013,0.000979013
14,143.539,0.82659,0.59044,0.90609,0.94352,0.94191,0.956,0.77897,0.66641,0.52044,0.89154,0.000968014,0.000968014,0.000968014
15,152.781,0.81526,0.57938,0.89969,0.95192,0.92746,0.9522,0.76088,0.71274,0.51972,0.89053,0.000957015,0.000957015,0.000957015
16,161.939,0.82884,0.59227,0.88743,0.93835,0.93278,0.95048,0.77087,0.6765,0.51996,0.88424,0.000946016,0.000946016,0.000946016
17,171.116,0.79001,0.56752,0.88518,0.96004,0.94497,0.96101,0.78721,0.63971,0.50513,0.87496,0.000935018,0.000935018,0.000935018
18,180.358,0.77846,0.54856,0.87421,0.9541,0.94739,0.95441,0.78983,0.66128,0.49729,0.88219,0.000924019,0.000924019,0.000924019
19,189.624,0.74332,0.5458,0.88528,0.94442,0.94398,0.95885,0.79333,0.62638,0.48814,0.87629,0.00091302,0.00091302,0.00091302
20,198.871,0.76422,0.53703,0.86399,0.95554,0.9018,0.93674,0.75879,0.67181,0.68407,0.88945,0.000902021,0.000902021,0.000902021
21,208.047,0.73581,0.52059,0.86538,0.96573,0.95168,0.96013,0.80183,0.62251,0.479,0.87562,0.000891022,0.000891022,0.000891022
22,217.302,0.73346,0.54276,0.87846,0.95327,0.93339,0.95783,0.79024,0.64755,0.63034,0.87831,0.000880023,0.000880023,0.000880023
23,226.479,0.75313,0.53664,0.87453,0.89878,0.93038,0.92304,0.7526,0.6788,0.62815,0.882,0.000869024,0.000869024,0.000869024
24,235.647,0.71345,0.49831,0.86284,0.9606,0.94225,0.96307,0.81124,0.59632,0.47618,0.86899,0.000858025,0.000858025,0.000858025
25,244.903,0.6958,0.4983,0.85937,0.96644,0.93825,0.95739,0.79327,0.62966,0.48806,0.8789,0.000847026,0.000847026,0.000847026
26,254.071,0.71372,0.51657,0.86741,0.97068,0.94225,0.95556,0.81036,0.59809,0.47886,0.87648,0.000836027,0.000836027,0.000836027
27,263.255,0.70782,0.49359,0.85699,0.96643,0.95133,0.96144,0.80353,0.61179,0.48696,0.87454,0.000825029,0.000825029,0.000825029
28,272.435,0.69799,0.49885,0.86072,0.94645,0.94266,0.95564,0.80406,0.59776,0.47748,0.87047,0.00081403,0.00081403,0.00081403
29,281.627,0.6985,0.48327,0.85246,0.94931,0.95694,0.95912,0.80094,0.61996,0.46839,0.87098,0.000803031,0.000803031,0.000803031
30,290.807,0.68566,0.48857,0.85753,0.96324,0.93828,0.96025,0.81014,0.59869,0.45267,0.87074,0.000792032,0.000792032,0.000792032
31,299.992,0.70665,0.49621,0.85375,0.96794,0.94113,0.96438,0.82784,0.56384,0.44913,0.86526,0.000781033,0.000781033,0.000781033
32,309.246,0.67672,0.48064,0.85311,0.96535,0.93519,0.95838,0.81715,0.57745,0.45198,0.86316,0.000770034,0.000770034,0.000770034
33,318.496,0.68657,0.48176,0.85245,0.96674,0.94349,0.96404,0.82059,0.57117,0.43615,0.86096,0.000759035,0.000759035,0.000759035
34,327.675,0.66724,0.45927,0.85299,0.95856,0.93679,0.95741,0.80489,0.58618,0.4532,0.86345,0.000748036,0.000748036,0.000748036
35,336.849,0.68105,0.46408,0.85107,0.96735,0.94207,0.95766,0.80737,0.55813,0.44899,0.85966,0.000737037,0.000737037,0.000737037
36,346.023,0.63917,0.44573,0.84597,0.97196,0.9546,0.96236,0.83849,0.52358,0.43037,0.85717,0.000726038,0.000726038,0.000726038
37,355.282,0.64795,0.45007,0.85001,0.97332,0.96074,0.96363,0.83822,0.52549,0.41235,0.85165,0.00071504,0.00071504,0.00071504
38,364.456,0.63445,0.43544,0.84092,0.95598,0.95479,0.95741,0.82169,0.5558,0.43064,0.86118,0.000704041,0.000704041,0.000704041
39,373.631,0.64227,0.45095,0.84984,0.95669,0.95356,0.96297,0.81595,0.56906,0.43126,0.86151,0.000693042,0.000693042,0.000693042
40,382.806,0.67494,0.46181,0.84122,0.96061,0.95622,0.964,0.82042,0.57304,0.42,0.85731,0.000682043,0.000682043,0.000682043
41,391.975,0.64099,0.43929,0.84611,0.95718,0.95725,0.96375,0.80744,0.61206,0.43404,0.85913,0.000671044,0.000671044,0.000671044
42,401.135,0.63318,0.45138,0.84253,0.95344,0.95782,0.95829,0.81974,0.55926,0.43473,0.85283,0.000660045,0.000660045,0.000660045
43,410.299,0.64883,0.44259,0.84475,0.9664,0.94756,0.96316,0.81487,0.57293,0.42212,0.85885,0.000649046,0.000649046,0.000649046
44,419.445,0.62149,0.43873,0.84031,0.962,0.94947,0.96181,0.83267,0.5312,0.41184,0.85285,0.000638047,0.000638047,0.000638047
45,428.612,0.61824,0.43462,0.84184,0.96629,0.94822,0.96562,0.81726,0.55178,0.42907,0.85851,0.000627048,0.000627048,0.000627048
46,437.775,0.6185,0.42226,0.83977,0.97015,0.96341,0.96614,0.83514,0.5224,0.39954,0.8451,0.000616049,0.000616049,0.000616049
47,446.949,0.62366,0.4251,0.8399,0.96953,0.95603,0.96405,0.83928,0.50906,0.40511,0.85313,0.000605051,0.000605051,0.000605051
48,456.206,0.61189,0.42282,0.83936,0.96594,0.94276,0.96155,0.8249,0.54432,0.41396,0.84753,0.000594052,0.000594052,0.000594052
49,465.381,0.62338,0.42885,0.8446,0.97284,0.94642,0.96603,0.8446,0.50601,0.40319,0.84923,0.000583053,0.000583053,0.000583053
50,474.642,0.63049,0.43284,0.85167,0.97005,0.94813,0.95283,0.81204,0.55183,0.42455,0.86205,0.000572054,0.000572054,0.000572054
51,483.829,0.60964,0.41222,0.84301,0.96409,0.94595,0.95985,0.83163,0.51002,0.40269,0.85688,0.000561055,0.000561055,0.000561055
52,492.994,0.58776,0.40682,0.83059,0.97481,0.95185,0.96325,0.83687,0.50213,0.39789,0.85496,0.000550056,0.000550056,0.000550056
53,502.182,0.6052,0.41125,0.83663,0.96435,0.9548,0.96425,0.82836,0.55186,0.40802,0.86213,0.000539057,0.000539057,0.000539057
54,511.356,0.61827,0.42248,0.84149,0.97531,0.95213,0.96092,0.83018,0.52245,0.39971,0.85328,0.000528058,0.000528058,0.000528058
55,520.533,0.5816,0.40119,0.83676,0.97005,0.95877,0.96035,0.83924,0.50801,0.39476,0.85162,0.000517059,0.000517059,0.000517059
56,529.689,0.60466,0.41393,0.83445,0.97444,0.9545,0.9653,0.84314,0.49465,0.37966,0.84823,0.00050606,0.00050606,0.00050606
57,538.877,0.57536,0.39744,0.83211,0.96559,0.96154,0.96416,0.84469,0.49553,0.38426,0.8457,0.000495062,0.000495062,0.000495062
58,548.119,0.57552,0.39286,0.8298,0.97675,0.95462,0.96455,0.84564,0.50551,0.3887,0.85172,0.000484063,0.000484063,0.000484063
59,557.373,0.55759,0.38327,0.82097,0.97413,0.95491,0.96759,0.84648,0.48467,0.37792,0.84805,0.000473064,0.000473064,0.000473064
60,566.626,0.57198,0.39797,0.83134,0.97374,0.95267,0.96304,0.83952,0.50204,0.3927,0.84746,0.000462065,0.000462065,0.000462065
61,575.795,0.57479,0.39441,0.83301,0.96388,0.96556,0.96514,0.83748,0.507,0.37908,0.8467,0.000451066,0.000451066,0.000451066
62,584.971,0.57497,0.39429,0.82878,0.9693,0.95429,0.96429,0.83939,0.50201,0.3973,0.85234,0.000440067,0.000440067,0.000440067
63,594.143,0.5693,0.38839,0.83322,0.96986,0.95418,0.96467,0.84479,0.49357,0.38222,0.85217,0.000429068,0.000429068,0.000429068
64,603.307,0.5578,0.38532,0.82621,0.97665,0.94586,0.96679,0.85375,0.48968,0.38713,0.84876,0.000418069,0.000418069,0.000418069
65,612.58,0.55726,0.38024,0.82418,0.96227,0.96131,0.96418,0.84783,0.49659,0.378,0.84562,0.00040707,0.00040707,0.00040707
66,621.75,0.54615,0.37362,0.82557,0.97452,0.94842,0.96601,0.85519,0.47777,0.38294,0.84616,0.000396071,0.000396071,0.000396071
67,631.02,0.53822,0.37459,0.82322,0.9743,0.95522,0.96541,0.84826,0.49034,0.38721,0.8487,0.000385073,0.000385073,0.000385073
68,640.163,0.5596,0.3829,0.82214,0.97663,0.95353,0.96703,0.85473,0.46999,0.37529,0.84193,0.000374074,0.000374074,0.000374074
69,649.328,0.5375,0.37183,0.82967,0.97586,0.95611,0.96465,0.84496,0.46999,0.3639,0.84537,0.000363075,0.000363075,0.000363075
70,658.493,0.54069,0.36889,0.82512,0.97556,0.95183,0.96725,0.85569,0.46775,0.37015,0.84693,0.000352076,0.000352076,0.000352076
71,667.745,0.52429,0.3604,0.82337,0.9716,0.95241,0.96056,0.8406,0.49653,0.37866,0.84695,0.000341077,0.000341077,0.000341077
72,676.892,0.52224,0.3617,0.81495,0.97669,0.95222,0.96186,0.85158,0.47133,0.37611,0.84282,0.000330078,0.000330078,0.000330078
73,686.04,0.53443,0.37392,0.82163,0.97467,0.96045,0.96127,0.84631,0.47687,0.36642,0.84112,0.000319079,0.000319079,0.000319079
74,695.177,0.53582,0.36274,0.82198,0.97061,0.95524,0.96466,0.84624,0.47711,0.37481,0.84049,0.00030808,0.00030808,0.00030808
