epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.37142,1.29224,3.44816,1.01048,0.88036,0.00885,0.06847,0.04272,0.93998,3.83778,0.91693,0.000362283,0.000362283,0.000362283
2,12.9405,1.1103,1.77544,0.9513,0.98073,0.32752,0.80069,0.59238,0.9929,2.5429,0.94892,0.000725363,0.000725363,0.000725363
3,18.4331,1.07446,1.43171,0.94588,0.86258,0.83575,0.86644,0.63694,1.01201,1.29749,0.95666,0.00108111,0.00108111,0.00108111
4,23.9027,1.02112,1.25462,0.93325,0.92659,0.88374,0.92113,0.68463,0.89195,0.84549,0.93535,0.001078,0.001078,0.001078
5,29.3908,0.99417,1.18206,0.94094,0.9321,0.91147,0.93367,0.7113,0.8364,0.7398,0.9326,0.001067,0.001067,0.001067
6,34.8175,0.94628,1.05305,0.92742,0.95397,0.90357,0.94395,0.71364,0.81814,0.67729,0.92172,0.00105601,0.00105601,0.00105601
7,40.2526,0.93176,0.96107,0.92087,0.9375,0.91381,0.94186,0.73481,0.77007,0.65412,0.90966,0.00104501,0.00104501,0.00104501
8,45.7009,0.87393,0.89389,0.90619,0.92976,0.93184,0.94353,0.73874,0.78704,0.62456,0.91198,0.00103401,0.00103401,0.00103401
9,51.1815,0.91244,0.8688,0.91297,0.94899,0.93517,0.94402,0.74035,0.72311,0.61067,0.89572,0.00102301,0.00102301,0.00102301
10,56.647,0.8756,0.8534,0.90892,0.96831,0.92479,0.95442,0.76619,0.70209,0.58131,0.88885,0.00101201,0.00101201,0.00101201
11,62.1292,0.85139,0.76872,0.89016,0.9549,0.93294,0.94781,0.74597,0.74787,0.60943,0.9107,0.00100101,0.00100101,0.00100101
12,67.5343,0.83933,0.74341,0.90012,0.93235,0.94125,0.94568,0.75437,0.73227,0.58165,0.89743,0.000990012,0.000990012,0.000990012
13,73.0171,0.84812,0.72915,0.89872,0.92854,0.92833,0.9477,0.77338,0.693,0.5595,0.88788,0.000979013,0.000979013,0.000979013
14,78.4482,0.85793,0.71954,0.89792,0.9637,0.92471,0.95276,0.76166,0.71679,0.57315,0.89696,0.000968014,0.000968014,0.000968014
15,83.8854,0.82416,0.69901,0.89575,0.95532,0.9241,0.95212,0.77288,0.67939,0.56106,0.88379,0.000957015,0.000957015,0.000957015
16,89.3443,0.82807,0.68457,0.88042,0.95414,0.94012,0.95378,0.77078,0.67772,0.54786,0.88953,0.000946016,0.000946016,0.000946016
17,94.8206,0.81489,0.65516,0.88462,0.96729,0.94247,0.96065,0.78714,0.65257,0.53631,0.87925,0.000935018,0.000935018,0.000935018
18,100.248,0.79629,0.63636,0.87171,0.97015,0.95072,0.96425,0.77862,0.68974,0.53063,0.88359,0.000924019,0.000924019,0.000924019
19,105.682,0.78102,0.64465,0.88021,0.96219,0.93373,0.95252,0.7721,0.67845,0.53604,0.87981,0.00091302,0.00091302,0.00091302
20,111.107,0.80668,0.64196,0.8659,0.96501,0.93573,0.95681,0.7877,0.63537,0.51811,0.87921,0.000902021,0.000902021,0.000902021
21,116.574,0.76022,0.59773,0.86814,0.96309,0.93046,0.96107,0.78619,0.65325,0.51536,0.88078,0.000891022,0.000891022,0.000891022
22,121.991,0.77306,0.62135,0.87609,0.96294,0.9371,0.9608,0.78582,0.62917,0.5071,0.87863,0.000880023,0.000880023,0.000880023
23,127.458,0.76862,0.60197,0.87241,0.94866,0.9352,0.95451,0.792,0.63181,0.50414,0.87128,0.000869024,0.000869024,0.000869024
24,132.934,0.74003,0.57083,0.86071,0.96236,0.92988,0.95605,0.7847,0.64327,0.51632,0.87968,0.000858025,0.000858025,0.000858025
25,138.37,0.74637,0.59028,0.86686,0.96166,0.94869,0.95962,0.78414,0.63208,0.50937,0.87716,0.000847026,0.000847026,0.000847026
26,143.799,0.74944,0.60265,0.87273,0.94889,0.95542,0.96424,0.79461,0.63968,0.50417,0.87604,0.000836027,0.000836027,0.000836027
27,149.297,0.76602,0.58133,0.86465,0.95577,0.94992,0.96282,0.78928,0.63672,0.49802,0.87956,0.000825029,0.000825029,0.000825029
28,154.739,0.73814,0.57174,0.86407,0.94672,0.95201,0.96279,0.80298,0.61838,0.50075,0.87923,0.00081403,0.00081403,0.00081403
29,160.196,0.73736,0.54622,0.85893,0.9674,0.94242,0.96274,0.80793,0.59996,0.47134,0.87355,0.000803031,0.000803031,0.000803031
30,165.681,0.71326,0.54195,0.86146,0.9655,0.95311,0.96504,0.8071,0.60585,0.46698,0.86381,0.000792032,0.000792032,0.000792032
31,171.114,0.73934,0.54808,0.85864,0.95986,0.95836,0.96682,0.81402,0.59475,0.47247,0.86422,0.000781033,0.000781033,0.000781033
32,176.581,0.71737,0.53974,0.86093,0.94611,0.9586,0.96104,0.80571,0.59867,0.47367,0.86947,0.000770034,0.000770034,0.000770034
33,182.065,0.71973,0.53346,0.8538,0.95121,0.9455,0.96748,0.8135,0.59868,0.46817,0.87001,0.000759035,0.000759035,0.000759035
34,187.489,0.70363,0.52209,0.85557,0.96124,0.95125,0.96307,0.79317,0.62209,0.46321,0.87149,0.000748036,0.000748036,0.000748036
35,193.004,0.70788,0.52451,0.85163,0.95916,0.93759,0.96429,0.81625,0.57266,0.4706,0.85976,0.000737037,0.000737037,0.000737037
36,198.542,0.67984,0.50606,0.85781,0.97753,0.95368,0.96829,0.81301,0.59203,0.46516,0.86849,0.000726038,0.000726038,0.000726038
37,203.988,0.70017,0.52776,0.8544,0.96068,0.95335,0.96753,0.81626,0.57211,0.44682,0.85956,0.00071504,0.00071504,0.00071504
38,209.435,0.67743,0.49462,0.84434,0.97585,0.95508,0.97139,0.80969,0.6021,0.45929,0.86583,0.000704041,0.000704041,0.000704041
39,214.934,0.67697,0.49605,0.85462,0.96128,0.9563,0.9669,0.79998,0.61189,0.4522,0.86498,0.000693042,0.000693042,0.000693042
40,220.376,0.71723,0.5144,0.84606,0.94022,0.95871,0.96932,0.80499,0.59255,0.44961,0.85979,0.000682043,0.000682043,0.000682043
41,225.817,0.68517,0.48442,0.85238,0.95877,0.94845,0.96348,0.81047,0.56641,0.43828,0.85845,0.000671044,0.000671044,0.000671044
42,231.258,0.67124,0.49836,0.85024,0.97077,0.95993,0.969,0.8347,0.54268,0.42417,0.852,0.000660045,0.000660045,0.000660045
43,236.746,0.68114,0.49007,0.84711,0.95714,0.96242,0.96946,0.82164,0.57594,0.44813,0.86653,0.000649046,0.000649046,0.000649046
44,242.219,0.68099,0.50063,0.84523,0.95638,0.96394,0.96508,0.80819,0.59162,0.43883,0.8598,0.000638047,0.000638047,0.000638047
45,247.666,0.67197,0.48629,0.84734,0.96759,0.94373,0.96564,0.79791,0.61937,0.44332,0.86106,0.000627048,0.000627048,0.000627048
46,253.102,0.64992,0.47444,0.84335,0.95597,0.96252,0.96581,0.82072,0.56077,0.45723,0.85937,0.000616049,0.000616049,0.000616049
47,258.549,0.67398,0.47068,0.84774,0.95439,0.95428,0.96213,0.81295,0.5501,0.4339,0.85659,0.000605051,0.000605051,0.000605051
48,263.969,0.65011,0.46695,0.84388,0.9735,0.94393,0.9657,0.82502,0.56898,0.43817,0.85934,0.000594052,0.000594052,0.000594052
49,269.404,0.65582,0.47814,0.84776,0.96799,0.95912,0.96589,0.82805,0.54753,0.43104,0.86269,0.000583053,0.000583053,0.000583053
50,274.884,0.67701,0.4916,0.85481,0.95935,0.95583,0.96649,0.8234,0.55807,0.44289,0.85886,0.000572054,0.000572054,0.000572054
51,280.341,0.63647,0.4632,0.84284,0.97019,0.95887,0.96627,0.8281,0.54173,0.41728,0.85104,0.000561055,0.000561055,0.000561055
52,285.775,0.64258,0.45704,0.8347,0.96435,0.9602,0.96571,0.82697,0.54637,0.41862,0.84946,0.000550056,0.000550056,0.000550056
53,291.225,0.63994,0.45558,0.83925,0.96633,0.95441,0.96153,0.81887,0.53882,0.43084,0.85232,0.000539057,0.000539057,0.000539057
